ID,DATA_ORIGINATOR,LATITUDE,LONGITUDE,SOC_field,CLAY_field,pGEP_MSAVI2,CLAY_SSURGO,pMAST,LIT_LIGN,ELEV_DEM
S15,Nicholas R. Patton,43.12971095,-116.7934963,7.17,11.26,866.3049927,10.5,9.9629402,11.6999998,1787.5
S16,Nicholas R. Patton,43.20529592,-116.7506016,1.348333333,11.260625,-20.493,25.7999992,10.8393002,11.6999998,1201.910034
S17,Nicholas R. Patton,43.12565165,-116.7811645,1.793125,11.43563636,394.95401,14.3000002,11.1189003,11.6999998,1608.390015
S18,Nicholas R. Patton,43.24720654,-116.7071648,0.68,11.63333333,-212.5399933,12.3000002,11.2952003,11.6999998,1283.98999
S19,Nicholas R. Patton,43.06815056,-116.7584612,10.3,11.77166667,1159.089966,20.7000008,7.6005998,11.6999998,2062.73999
S2,Nicholas R. Patton,43.11980227,-116.722923,5.56,6.333333333,517.4790039,22.2999992,7.6586399,15.5909996,1904.75
S20,Nicholas R. Patton,43.06520205,-116.7593348,2.906666667,11.87875,300.5150146,20.5,9.34935,11.6999998,2094.790039
S22,Nicholas R. Patton,43.19273015,-116.8149283,2.73,12.28333333,287.8999939,14.3000002,9.3677101,11.6999998,1657.01001
S23,Nicholas R. Patton,43.12385697,-116.7800245,3.462142857,12.293,414.5589905,14.3000002,11.9081001,11.6999998,1549.530029
S25,Nicholas R. Patton,43.13301998,-116.7920531,6.83,12.33166667,179.802002,14.3000002,9.8768396,11.6999998,1808.829956
S27,Nicholas R. Patton,43.19159234,-116.8095646,4.628947368,12.44717949,365.4200134,14.3000002,6.9818702,11.6999998,1600.76001
S29,Nicholas R. Patton,43.12349175,-116.7874879,10.23648649,12.678,1169.189941,14.3000002,5.5837402,11.6999998,1616.52002
S3,Nicholas R. Patton,43.18866189,-116.8130672,5.91,7.375,238.8560028,19.8950996,9.4678097,11.6999998,1649.530029
S30,Nicholas R. Patton,43.18077561,-116.7145575,2.199230769,13.10452381,0.631347,17.8999996,10.4433002,11.6999998,1348.640015
S31,Nicholas R. Patton,43.12421955,-116.7895852,3.017142857,13.48833333,389.9700012,14.3000002,11.2613001,11.6999998,1667.420044
S32,Nicholas R. Patton,43.12752508,-116.7925417,5.023333333,13.516,601.0980225,10.5,10.6028996,11.6999998,1749.359985
S33,Nicholas R. Patton,43.12416094,-116.7826214,3.03,13.725,545.0159912,14.3000002,11.1452999,11.6999998,1570.189941
S34,Nicholas R. Patton,43.1242439,-116.7916884,3.431090909,13.98132353,600.0189819,10.5,11.5906,11.6999998,1695.979981
S35,Nicholas R. Patton,43.1220937,-116.7801683,4.92,14.08333333,612.3400269,14.3000002,7.7888899,11.6999998,1584.890015
S36,Nicholas R. Patton,43.19214026,-116.8079732,8.67,14.18166667,379.1430054,14.3000002,6.73283,11.6999998,1562.069946
S37,Nicholas R. Patton,43.12667447,-116.7868472,3.17,14.255,525.0319824,14.3000002,11.8634005,11.6999998,1711.01001
S38,Nicholas R. Patton,43.19243739,-116.8066319,5.67,14.655,252.7100067,14.3000002,7.66081,11.6999998,1556.089966
S39,Nicholas R. Patton,43.12449119,-116.794308,12.5,14.86333333,1661.640015,20.3999996,8.5339699,15.8590002,1738.359985
S4,Nicholas R. Patton,43.19347351,-116.810691,1.759411765,9.932162162,193.5010071,14.3000002,12.2800999,11.6999998,1592.23999
S40,Nicholas R. Patton,43.12303738,-116.7856704,5.821428571,15.234,804.0570068,14.3000002,6.0898199,11.6999998,1613.140015
S42,Nicholas R. Patton,43.11716535,-116.7257274,7.66,15.65333333,631.223999,22.2999992,7.9834599,11.6999998,1915.540039
S43,Nicholas R. Patton,43.06447579,-116.7485631,9.16,15.70833333,355.7160034,20.5,7.9335999,11.6999998,2110.649902
S44,Nicholas R. Patton,43.12303246,-116.7927984,9.827142857,15.81888889,1697.920044,20.3999996,7.5053802,11.6999998,1729.900024
S47,Nicholas R. Patton,43.12875942,-116.7929445,7.027777778,17.443,591.59198,10.5,10.5836,11.6999998,1775.26001
S48,Nicholas R. Patton,43.12317978,-116.7878097,3.768461538,17.47419355,794.3640137,14.3000002,4.6739302,18.1697006,1638.219971
S49,Nicholas R. Patton,43.12611188,-116.7890521,2.805,17.475,464.20401,14.3000002,11.5574999,11.6999998,1699.459961
S50,Nicholas R. Patton,43.12035214,-116.8005433,4.01,18.28666667,421.1440125,23.7000008,9.4428902,11.6999998,1868.410034
S51,Nicholas R. Patton,43.12283706,-116.7981045,10.97,18.48833333,929.177002,23.7000008,6.3752398,11.6999998,1819.599976
S52,Nicholas R. Patton,43.18051979,-116.7138797,1.595,18.4965,-106.4889984,17.1450996,10.9786997,11.6999998,1358.089966
S53,Nicholas R. Patton,43.12387104,-116.7826147,9.55,18.765,669.7550049,14.3000002,6.5927801,11.6999998,1568.859985
S55,Nicholas R. Patton,43.13058584,-116.7985533,5.07,19.43166667,505.8349915,23.7000008,9.5736198,11.6999998,1799.709961
S56,Nicholas R. Patton,43.2284173,-116.7368159,1.083076923,19.68212121,-98.3662033,22.1000004,11.1014004,0,1187.729981
S57,Nicholas R. Patton,43.12197197,-116.782117,8.75,20.20666667,1085.150024,14.3000002,7.7039499,11.6999998,1630.380005
S58,Nicholas R. Patton,43.13104556,-116.7960652,5.510588235,20.72380952,238.9140015,14.3000002,10.5711002,11.6999998,1788.130005
S59,Nicholas R. Patton,43.12258624,-116.7849555,7.558709677,20.75611111,876.6220093,14.3000002,5.9746599,11.6999998,1617.430054
S6,Nicholas R. Patton,43.12453364,-116.7860349,2.31,10.38,336.6029968,14.3000002,12.2628002,11.6999998,1630.51001
S60,Nicholas R. Patton,43.12222251,-116.7817345,8.6,20.97666667,873.6929932,14.3000002,6.2929001,11.6999998,1614.430054
S63,Nicholas R. Patton,43.0685844,-116.7588933,6.7,22.06333333,1276.380005,20.7000008,7.13276,37.5999985,2053
S67,Nicholas R. Patton,43.14459543,-116.73561,3.6,25.87,-38.8689995,29.3999996,10.0209999,11.6999998,1609.099976
S68,Nicholas R. Patton,43.1439637,-116.7353485,2.434545455,26.38645161,-85.6993027,29.3999996,10.4624996,11.6999998,1618.25
S7,Nicholas R. Patton,43.12749278,-116.7897313,4.4,10.49,347.6040039,10.5,11.1869001,11.6999998,1742.670044
S70,Nicholas R. Patton,43.16761023,-116.7130538,2.08,33.69333333,-9.6191101,29.7000008,10.4895,11.6999998,1423.170044
S72,Nicholas R. Patton,43.14393712,-116.7367838,2.242857143,38.65352941,-109.5830002,29.3999996,9.7494001,11.6999998,1613.670044
S73,Nicholas R. Patton,43.20024555,-116.7057467,1.98,42.02777778,-243.8029938,29.7000008,9.2375498,11.6999998,1403.160034
S74,Nicholas R. Patton,43.12363069,-116.7967467,8.658695652,55.82153846,375.5220032,23.7000008,9.3150396,11.6999998,1798.479981
S9,Nicholas R. Patton,43.12378073,-116.7876965,4.481666667,10.69714286,1039.52002,14.3000002,11.8063002,11.6999998,1618.839966
